10.3542 ,3.9397 ,-1.4961 
10.3658 ,3.8573 ,-1.4902 
8.3116 ,4.6220 ,-1.4732 
8.2477 ,4.6140 ,-1.4822 
8.2358 ,4.6204 ,-1.4797 
8.2160 ,4.6652 ,-1.4562 
7.6305 ,4.8724 ,-1.4441 
7.7746 ,4.8319 ,-1.4487 
7.8094 ,4.7775 ,-1.4357 
7.7288 ,4.7867 ,-1.4331 
9.5725 ,4.2825 ,-1.4857 
9.5596 ,4.2848 ,-1.4770 
9.5916 ,4.2868 ,-1.4914 
9.8668 ,4.1182 ,-1.4728 
9.4941 ,4.3163 ,-1.4752 
9.8349 ,4.0481 ,-1.4450 
9.7064 ,4.1702 ,-1.4598 
8.3052 ,5.0173 ,-1.5528 
9.5523 ,4.2732 ,-1.4678 
9.5909 ,4.2550 ,-1.4697 
9.3751 ,4.3508 ,-1.4587 
9.3081 ,4.2753 ,-1.4535 
9.2546 ,4.3696 ,-1.4500 
9.4569 ,4.3069 ,-1.4588 
9.0976 ,4.1941 ,-1.4421 
9.1137 ,4.2015 ,-1.4355 
9.1590 ,4.1930 ,-1.4350 
9.2192 ,4.1680 ,-1.4400 
9.3063 ,4.1374 ,-1.4453 
9.2755 ,4.1446 ,-1.4340 
8.9746 ,4.2257 ,-1.4197 
9.2188 ,4.1495 ,-1.4290 
9.1666 ,4.1247 ,-1.4373 
8.8348 ,4.2505 ,-1.4121 
8.7578 ,4.2857 ,-1.4074 
8.7404 ,4.2773 ,-1.4051 
8.7121 ,4.2673 ,-1.3996 
8.7813 ,4.2386 ,-1.3990 
8.9713 ,4.1584 ,-1.3994 
8.7667 ,4.2185 ,-1.3908 
8.3602 ,4.3405 ,-1.3734 
8.3163 ,4.3544 ,-1.3711 
8.1334 ,4.1992 ,-1.3473 
8.1782 ,4.0894 ,-1.3451 
8.1513 ,4.1014 ,-1.3306 
8.2009 ,4.0623 ,-1.3279 
8.1501 ,4.0715 ,-1.3238 
8.2342 ,4.0204 ,-1.3338 
8.6973 ,3.9398 ,-1.3582 
8.7599 ,3.8812 ,-1.3430 
8.7441 ,3.8012 ,-1.3485 
8.1429 ,3.9836 ,-1.3126 
8.0722 ,3.9371 ,-1.3048 
7.8654 ,3.9683 ,-1.2880 
7.9817 ,3.9259 ,-1.2904 
7.6349 ,4.1012 ,-1.3123 
7.9448 ,4.0763 ,-1.3263 
7.8546 ,3.7308 ,-1.2614 
7.9812 ,3.6950 ,-1.2448 
8.5728 ,4.4542 ,-1.3174 
7.9478 ,3.6151 ,-1.2728 
7.6916 ,3.5453 ,-1.2163 
7.5564 ,4.0384 ,-1.3433 
7.7130 ,3.5131 ,-1.2162 
7.6350 ,3.5246 ,-1.2247 
7.8108 ,3.4645 ,-1.2156 
7.8185 ,3.5186 ,-1.2109 
8.0367 ,3.4027 ,-1.2175 
7.9094 ,3.4256 ,-1.2038 
7.9691 ,3.3409 ,-1.1882 
7.9479 ,3.6684 ,-1.2164 
8.0394 ,3.6274 ,-1.2017 
8.1243 ,3.2542 ,-1.1956 
7.8004 ,3.3467 ,-1.1825 
8.0468 ,3.6887 ,-1.2128 
7.7174 ,3.2283 ,-1.1742 
7.5930 ,3.2623 ,-1.1573 
16.0618 ,1.5509 ,-1.4609 
7.6528 ,3.1632 ,-1.1715 
5.8785 ,4.5509 ,-1.3201 
7.5530 ,3.1939 ,-1.1486 
7.8118 ,3.1350 ,-1.1542 
7.7043 ,3.1516 ,-1.1554 
7.6038 ,3.2118 ,-1.1493 
8.6324 ,4.3682 ,-1.2748 
7.5836 ,3.1683 ,-1.1432 
7.6533 ,3.1304 ,-1.1527 
7.5836 ,3.1409 ,-1.1409 
7.6822 ,3.2204 ,-1.1499 
7.6594 ,3.0718 ,-1.1492 
7.5071 ,3.1240 ,-1.1313 
7.7711 ,3.3968 ,-1.1657 
7.6665 ,3.1134 ,-1.1530 
7.7707 ,2.9138 ,-1.1492 
7.7291 ,2.9419 ,-1.1372 
7.3871 ,2.8784 ,-1.1023 
7.3648 ,2.8394 ,-1.0930 
7.3632 ,2.8115 ,-1.0917 
7.3788 ,2.8334 ,-1.0885 
7.3875 ,2.8097 ,-1.0854 
7.4481 ,2.7968 ,-1.0793 
7.0419 ,3.7688 ,-1.1909 
7.0094 ,3.8535 ,-1.2066 
7.3465 ,2.9329 ,-1.0941 
7.3290 ,3.6702 ,-1.1908 
7.4787 ,2.9305 ,-1.1092 
7.5023 ,3.0370 ,-1.1258 
7.4927 ,2.9170 ,-1.1086 
7.4678 ,2.9425 ,-1.1085 
7.3880 ,3.0423 ,-1.1139 
7.4050 ,3.0181 ,-1.1116 
7.5029 ,2.7870 ,-1.0897 
7.3801 ,3.0836 ,-1.1208 
7.3978 ,3.0338 ,-1.1131 
7.3748 ,3.0644 ,-1.1152 
7.4018 ,3.1062 ,-1.1258 
7.1672 ,3.8365 ,-1.1965 
7.5228 ,3.5647 ,-1.2003 
7.5287 ,3.2804 ,-1.1630 
7.4133 ,3.3599 ,-1.1584 
7.4798 ,3.2466 ,-1.1542 
7.4714 ,3.1389 ,-1.1383 
7.5019 ,3.3760 ,-1.1737 
7.3872 ,3.1979 ,-1.1354 
7.2935 ,3.5155 ,-1.1659 
7.2924 ,3.3036 ,-1.1371 
7.3688 ,3.2380 ,-1.1358 
7.2350 ,3.4869 ,-1.1577 
7.3354 ,3.3632 ,-1.1520 
7.6624 ,3.1229 ,-1.1546 
7.1085 ,4.1625 ,-1.2379 
7.3603 ,3.6336 ,-1.1953 
7.6175 ,3.5931 ,-1.2191 
7.8709 ,3.4215 ,-1.2248 
7.6620 ,3.9918 ,-1.2799 
7.6008 ,4.0997 ,-1.2899 
7.3271 ,4.0425 ,-1.2515 
7.4762 ,4.2059 ,-1.2903 
7.6639 ,3.6025 ,-1.2278 
7.5250 ,4.0086 ,-1.2649 
7.6763 ,3.6325 ,-1.2331 
7.7784 ,3.6894 ,-1.2457 
7.6481 ,3.9553 ,-1.2645 
7.7027 ,4.0994 ,-1.2984 
7.9594 ,4.1825 ,-1.3284 
7.8490 ,4.2466 ,-1.3208 
7.8046 ,4.1508 ,-1.2999 
